_id,description,enDescription,course_name,professor,courseObj.lectureLanguage,courseObj.typeOfCredit,label
630cf1b940e337e60fce0385,老師上課會等同學理解後再接續下去，讓同學有足夠時間消化，課程內也舉很多實際案件，讓學習內容更生活化，報告製作過程也讓我們充分了解上課內容，並學習運用自己所學領域製作，很實務的一堂課👍🏻,"The teacher will wait for the students to understand before continuing in class, so that the students have enough time to digest. There are also many practical cases in the course to make the learning content more life-like. The report making process also allows us to fully understand the class content and learn to apply what we have learned. Field production, a very practical class👍🏻",806,89,0,3,0.9959369897842407
630cf1b840e337e60fce02c6,遠距效果很差，全面遠距後可以考慮非同步遠距或是直接停課，不然每次上線我也不知道學了甚麼。期末改成心得的方式對體育學校幫助有點少,"The long-distance effect is very poor. After full distance, you can consider asynchronous long-distance or directly suspend classes, otherwise I don’t know what I have learned every time I go online. At the end of the term, the way of changing it into experience is a bit less helpful to the physical education school",113,77,0,1,0.00023251771926879883
630cf1b940e337e60fce03a6,作業的重複性很高，常常做差不多的作業,"The homework is very repetitive, often doing similar homework",801,84,0,1,0.00040608644485473633
630cf1b940e337e60fce031d,文本有點太多了…,The text is a bit too much...,807,684,0,2,0.00019186735153198242
630cf1b940e337e60fce03aa,國華老師很讚，總是提供很多對人生有幫助的資訊和資源給大家!,"Teacher Guohua is very good, always providing a lot of information and resources that are helpful to life!",801,84,0,1,0.9998807907104492
630cf1b940e337e60fce0315,致遠老師很讚！ 對外系生來說loading真的頗重，修習前要三思，可是老師人很Nice(期中考送巧克力給大家) 助教也上得很認真 這學期學到很多！ 推推推,"Teacher Zhiyuan is great! The loading is really heavy for foreign students, so you have to think twice before studying, but the teachers are very nice (chocolates are given to everyone in the mid-term exam) and the teaching assistants are also very serious. I learned a lot this semester! push push",803,94,3,1,0.9992055296897888
630cf1b940e337e60fce035b,老師的笑話很好笑，在講義上也會為大家做重點統整比對，非常感謝老師教授R語言,"The teacher's jokes are very funny. In the handouts, we will also make key comparisons for you. Thank you very much for teaching the R language",792,93,0,1,0.9998539686203003
630cf1b840e337e60fce02e7,老師教學認真，內容是有系統且鉅細靡遺，是經驗豐富的老師。希望老師能多傾聽學生的問題，老師似乎不太關注這部分。,"The teacher teaches seriously, the content is systematic and detailed, and he is an experienced teacher. I hope the teacher can listen more to the students' questions. The teacher doesn't seem to pay much attention to this part.",113,77,0,1,0.995484471321106
630cf1b940e337e60fce03d0,Loading 太重,Loading too heavy,803,94,0,1,0.00048410892486572266
630cf1b940e337e60fce034e,遠距上課是以影片的形式，非常人性化，可以依照自己的進度來上課,"Remote classes are in the form of videos, which is very user-friendly, and you can attend classes at your own pace",792,93,0,1,0.9516488909721375
